geneName,4cell,4cell,4cell,4cell,4cell,4cell,4cell
gene273,3.801893,2.948468,26.994257,26.972214,0.967467,5.837569,5.083325
gene274,0.333921,0.000000,0.000000,0.101158,0.075103,0.000000,0.000000
gene275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene276,37.514669,25.545066,105.702571,189.319390,184.213938,102.230819,216.378284
gene277,127.838755,137.694808,97.352721,92.851787,135.848791,177.007580,86.873524
gene278,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene279,1597.598503,995.522702,1966.686167,1539.246764,1375.195129,1452.869209,666.766240
gene280,10.108639,4.982337,91.210283,31.468760,33.286321,31.616513,13.336654
gene281,0.000000,0.000000,1.935253,8.676202,0.569266,17.565412,22.017394
gene282,96.770424,38.702379,58.651045,73.719992,21.514302,63.432114,39.124648
gene283,0.000000,0.000000,0.000000,0.000000,0.441839,0.108669,0.000000
gene284,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054158
gene286,26.496782,21.789418,24.737177,24.640344,19.598908,29.708598,38.883871
gene287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene288,0.000000,4.865566,0.114658,23.696530,44.385171,0.287768,0.000000
gene289,0.037850,0.000000,0.519431,21.528564,2.048525,9.577958,0.419054
gene290,2.073373,5.455609,11.740823,13.321205,2.377177,41.461560,29.979832
gene291,14.275085,4.683748,16.622944,0.503752,0.454319,5.129547,1.258381
gene292,43.396043,0.098857,19.442723,11.260369,1.931503,21.774036,22.113006
gene293,0.000000,0.751595,0.000000,0.217107,0.000000,0.000000,0.000000
gene294,123.448695,68.396700,42.941610,18.078353,32.352175,62.632043,26.205392
gene295,0.026628,0.000000,0.095329,0.244689,0.000000,0.000000,0.000000
gene296,3.631389,32.537260,23.846924,22.560591,18.131039,38.148975,28.188332
gene297,76.633458,43.521047,29.197110,51.072256,135.792194,100.006610,73.709516
gene298,0.000000,0.000000,0.430664,0.000000,0.000000,0.000000,5.778919
gene299,5.747944,0.950531,0.291193,1.921978,0.137569,1.601409,0.457249
gene300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene301,0.000000,0.000000,0.000000,0.050724,0.098026,0.180177,0.000000
gene302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene303,0.000000,14.444923,0.702408,0.000000,8.760578,54.771176,0.772076
gene304,0.000000,0.057460,31.579388,45.234315,25.828848,0.000000,0.000000
gene305,17.420813,0.180738,5.559015,0.373573,3.766746,9.081795,0.034777
gene306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene308,306.888952,282.932399,313.988811,326.538896,277.862504,241.545509,339.421534
gene309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.512288
gene310,0.000000,0.000000,0.000000,0.000000,0.892804,0.000000,0.000000
gene311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene312,314.867121,149.873282,249.280054,164.717710,146.870748,82.806853,161.203719
gene313,0.000000,20.404899,0.000000,0.000000,0.000000,13.849377,0.000000
gene314,0.000000,15.995811,0.000000,0.000000,0.000000,10.403078,0.000000
gene315,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene316,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene317,0.000000,0.000000,2.033429,0.000000,38.618440,0.088285,5.907089
gene318,0.000000,0.000000,0.000000,0.263281,0.000000,0.000000,0.000000
gene319,6.785359,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene320,0.073631,0.000000,0.197702,0.000000,1.961414,0.000000,0.077611
gene321,0.069744,0.000000,62.949730,15.832125,34.165053,32.439971,13.967615
gene322,18.504477,23.059920,22.784441,19.623219,22.068248,16.590842,8.944392
gene323,4.992598,14.589338,31.662669,7.132999,0.677956,5.905668,9.733359
gene324,0.000000,0.000000,0.313023,0.000000,0.000000,0.000000,0.000000
gene325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene326,0.009583,0.000000,0.000000,0.025161,0.024313,0.000000,0.000000
gene327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene328,0.000000,0.000000,0.000000,7.684256,3.991063,0.000000,0.000000
gene329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene330,8.408503,5.184312,12.963766,17.063618,20.855124,23.390903,17.871456
gene331,32.455559,103.109571,43.778724,93.255362,137.948270,103.205059,57.214748
gene332,0.000000,0.000000,4.438578,4.967636,0.000000,0.840849,9.515199
gene333,139.798036,126.022266,40.530580,95.437428,84.979560,164.035360,139.470091
gene334,11.558269,0.531764,2.687921,25.208368,6.233887,22.421002,0.063951
gene335,0.055377,131.478483,35.090539,80.474255,45.659485,32.105697,72.768120
gene336,73.870231,14.629642,82.296162,28.624785,65.862661,72.240081,27.725007
gene337,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
gene338,0.160146,4.951690,0.071666,11.037163,0.000000,0.186691,0.000000
gene339,0.000000,0.000000,0.000000,0.000000,0.000000,1.179884,0.000000
gene340,22.336706,69.636029,23.036936,42.259581,39.448573,94.976663,100.321125
gene341,1.604380,0.000000,0.000000,0.000000,0.000000,4.230888,0.000000
gene342,0.008396,3.016910,0.195363,3.218328,0.000000,2.531695,0.318568
gene343,4.660588,0.000000,16.999959,42.827295,43.279948,1.571841,0.000000
gene344,13.816531,14.453528,6.422105,4.265998,6.280126,23.712972,13.241526
